Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas
fdf868397acc84d51e2c33ee30d5574f744e20a7,bd374a36d0bd458e1312943ef55bd51b64d65bdc6541544227906851518a26ef8f0919ef175ef9640859793dd09b6531ae2f2fda4e3134334c43cdb2414559ae,09/17/2014 07:15:00 PM,09/17/2014 07:15:00 PM,0,0,17031980000,17031980000,76,76,$3.25,$0.00,$0.00,$0.50,$3.75,Cash,,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),75
fdf868b2b99e4ff27d647ac92be9bd24b61ee3e1,f19677875bae72f431e9e35abbf3fd29aedd79e11f2f04812f96ae4f7cc4cd260e4902a8d3a03ffff9c4ecbb3db67e51070e5097c1125c0c6c67d42a743b4b35,03/07/2015 07:00:00 PM,03/07/2015 07:00:00 PM,300,0.7,17031081403,17031081700,8,8,$5.25,$0.00,$0.00,$1.00,$6.25,Cash,,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),37
fdf868cec725e4e015d4fe05425444f338662804,ba7fe17332e5904c0457fc5b886bf8a0da57dacb98a801b8f6d085277b0815ff4440273ff05d4cb7161c717883b58eeb5f531e4069ff69effbfbf45cfc4ccc51,06/23/2015 11:30:00 AM,06/23/2015 11:45:00 AM,660,0.2,17031839100,17031242200,32,24,$10.05,$0.00,$0.00,$1.00,$11.05,Cash,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.899589796,-87.674719134,POINT (-87.6747191345 41.8995897957),38
fdf86956ff71dc4642cbf29ca3d7bfd8db88c8c3,b71c6761efe32829e7e453b0c6fcb78a456a7d83c720c746ac0575025dd8c5e3cd6b554288cf71419c89931c34166201ab5f47fe928d5d18e377bad66b8750fc,12/04/2013 02:00:00 PM,12/04/2013 02:30:00 PM,1440,15.3,,,76,,$31.05,$0.00,$0.00,$29.50,$60.55,Cash,3897 - Ilie Malec,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,,75
fdf869906fc0ed2b4071bed24bf6a19bc567d4a1,01480513a7f6f4664d6cc4c41ff3043ae6ecbc8cb17404f45de6db711747adf72cf309207bcde58413778d568f67a548640421aedac9a6f961b6919b6e662e8f,03/14/2016 11:15:00 PM,03/14/2016 11:30:00 PM,720,0,,,32,34,$15.25,$3.25,$0.00,$1.00,$19.50,Credit Card,Blue Ribbon Taxi Association Inc.,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.842076117,-87.633973422,POINT (-87.6339734222 41.8420761168),38
fdf8699ef342fc06449a8e01121f7d1ee34eb037,7579a67bd8b5681904b2a01091eb3b7439db193d0c84e674f5b4a47fe5ce6d1992890ce4fc19da6af2cce1bb010706283dd31c886abb69a9375ce406e0057c3a,04/24/2015 03:30:00 PM,04/24/2015 04:00:00 PM,2160,0,,,16,33,$25.05,$0.00,$0.00,$0.00,$25.05,Cash,Taxi Affiliation Services,41.953582125,-87.72345239,POINT (-87.7234523905 41.9535821253),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585),16
fdf869b667a367ec9e18e1bdc6af795d17b7cde5,fcf1debe2067f887cdc38e15afff867e00bd1b1bd76e61c23f9cd594c39d76878cddde2020ec7459e5eecefb2146c9a183196aa574ac709a98b9a6c6a8055c00,11/06/2016 05:30:00 PM,11/06/2016 06:30:00 PM,3780,17.8,17031980000,17031081401,76,8,$46.50,$0.00,$0.00,$4.00,$50.50,Cash,Taxi Affiliation Services,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),75
fdf869c810e2b781d25a850f8a164e4107b354e1,6fd8ebb2c170caf53acc0137fec1d84a602d8df3eb04d1eafc61cded149e94e85a0a7ff632a8312adb574188f2ebac796d2f072d5e6dee99ceb095e2ddc9214a,12/07/2015 12:15:00 PM,12/07/2015 12:15:00 PM,0,0.8,17031081500,17031081500,8,8,$3.25,$0.00,$0.00,$2.00,$5.25,Cash,2192 - 73487 Zeymane Corp,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),37
fdf869fa5be566fb514c43121b2b32c7d4cce290,9fb26ac89af85ccd25c5bbf0071a5488f1294fa2fae317fcf09802dc9f12690b9737c581fda11ec9769ea0e59939ea0b6c507a61f85bc2f4cadb6966bd1635e2,09/16/2013 08:15:00 PM,09/16/2013 08:15:00 PM,540,1.7,17031841900,17031320100,28,32,$7.45,$2.00,$0.00,$0.00,$9.45,Credit Card,Dispatch Taxi Affiliation,41.867902418,-87.642958665,POINT (-87.6429586652 41.8679024175),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),29
fdf869fdb68005ad0385580c9b6afc93641db56b,c27adec20c539acf907dc3afd02039ecfc63a3a229bb33fe98c925ff7a6159cc477cc6cfe1373a4dbcd39b37d6922fbe97a32f9a76eb99faf13a55eb4f3422a2,04/01/2015 10:15:00 AM,04/01/2015 10:30:00 AM,1560,1.1,,17031980000,,76,$36.45,$0.00,$0.00,$3.00,$39.45,Cash,Taxi Affiliation Services,,,,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),
fdf86a1ac7a670563ae6a9540389671b6591dcb5,644680ecf5bbb5af6329b0c9d4595c39344cd6c50fababc6e2e17811d9cfe0d67ac4a8b828340bf260428913ffd4b8b82dfaa8e1e83da0e939723ee47ae034c9,08/27/2013 07:30:00 AM,08/27/2013 07:30:00 AM,300,0.9,17031080300,17031081201,8,8,$5.25,$0.00,$0.00,$0.00,$5.25,Cash,,41.90749193,-87.63576009,POINT (-87.6357600901 41.9074919303),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),37
fdf86a2f9cc9fc5f61f3a480dcdf396b2fb83539,cd83cfd25c229da8eb9bedfd1b2e7c7dc2d647d77739d466079da1cdc19bc49c27fc4e0eea83174374bf8149a9e90e8a9d0feb135262f368a50e2f1f94504429,06/06/2014 01:15:00 PM,06/06/2014 01:30:00 PM,420,0.8,17031842200,17031081500,8,8,$6.05,$0.00,$0.00,$0.00,$6.05,Cash,Dispatch Taxi Affiliation,41.904935302,-87.649907226,POINT (-87.6499072264 41.9049353016),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),37
fdf86a51a5257ab75dd0bd9a0db35d97db92517b,58aa10a7f2b6a94f691da25a3faeb0f8f2b3d369f13b0d9ab1c53a3b68334a0cbcff990a75f7bf72cdc2e408272ec063a42e29b2662e4e884aa907e7c5d88dd0,05/18/2015 10:00:00 PM,05/18/2015 10:15:00 PM,1380,14.6,17031980100,17031080201,56,8,$30.25,$4.50,$0.00,$3.00,$37.75,Credit Card,Taxi Affiliation Services,41.785998518,-87.750934289,POINT (-87.7509342894 41.785998518),41.909495669,-87.630963601,POINT (-87.630963601 41.9094956686),53
fdf86a67466d1ac477a481ff95c54baa6c21d0eb,3f57eddca4d626a05c7255c32e4e6134f17d7f331073b173675438e3a1f640e107e367f52c5702d2c45e1ac323d7fa47553673637213cb1f84bcc7dc1d098501,02/23/2017 06:00:00 AM,02/23/2017 06:15:00 AM,540,2.5,,,24,32,$10.00,$0.00,$0.00,$0.00,$10.00,Cash,,41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),25
fdf86ab11d285c3de3387714c0d4b04ddc6da5ec,71ef2165fb0c28bf3b6d1871d921333800a09c5aae4b1792b7f4060d9b50d44e719b983e55c5b4040a45f29afac30b5d53d1a45a221f92dcf89d5d24e59a3cd0,10/09/2014 08:30:00 AM,10/09/2014 08:45:00 AM,480,0,17031081202,17031320100,8,32,$6.85,$2.00,$0.00,$0.00,$8.85,Credit Card,Taxi Affiliation Services,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),37
fdf86af26bda6ea5f4a361707a6ee84afa941a83,5fd8b845f0cc611d6d973dfa18565116716326401c94626a70f6ac4312deb5dbe386a3467af2315d9665cf6446d5b7c5277e1c6138d6713c7ed725c77a5db624,07/16/2015 09:30:00 AM,07/16/2015 09:30:00 AM,420,0,17031280100,17031839100,28,32,$5.65,$0.00,$0.00,$0.00,$5.65,Cash,Blue Ribbon Taxi Association Inc.,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),29
fdf86b3f02fa8666fcda6ef333a1b56d04e4bac2,0ba01abed01028c96163e9dd8983fe1ae2b2be27977f65cade99f92a2a590d61df36db77678169536b19e4b2b884162ff411906ff6fed74d31e6f77808f0f563,09/14/2016 04:45:00 PM,09/14/2016 05:45:00 PM,3540,12.4,17031330100,17031980100,33,56,$37.25,$0.00,$0.00,$2.00,$39.25,Cash,KOAM Taxi Association,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.785998518,-87.750934289,POINT (-87.7509342894 41.785998518),34
fdf86b5b73b2107a0bf5eb0e20d775c2c3760170,85475de3eab9986df926b43ca6c243b4cb1a0f239bfc7c9d0daab77af3066f1819d018d00f7780e0efbef0c4e3dadee0c11d80159cb5678a573ce79a7ba9cb10,07/22/2014 09:15:00 AM,07/22/2014 09:15:00 AM,300,0.7,17031081800,17031081600,8,8,$5.05,$0.00,$0.00,$0.00,$5.05,Cash,Northwest Management LLC,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),37
fdf86b7e6b22bd4e68f7c5d274764b855ffe37ce,0e8726922a5536f2c07eb081776484ac6ed4be5b2f5b09373be5777665a995d869e3bf5dae4c1f6d4508b3b1838a46a7cee18cff179ac1f776e22e83c98f3b3a,03/22/2015 02:30:00 PM,03/22/2015 03:00:00 PM,2160,17.8,17031081201,17031980000,8,76,$36.65,$7.93,$0.00,$3.00,$47.58,Credit Card,,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),37
fdf86b97b876a364bd89b639a1fea37c0dfc664a,f621299fa67bd8263e781be39bd954acda79ca9c95884949a24a35f09eec2160377ccf61c4a510b49b3fa6e40de8259c40d6f34611ef283976cb3b8cf8985bc0,11/08/2013 06:15:00 PM,11/08/2013 06:30:00 PM,780,2.2,17031081800,17031242000,8,24,$9.25,$2.00,$0.00,$0.00,$11.25,Credit Card,,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.899737388,-87.664953917,POINT (-87.6649539167 41.8997373884),37
fdf86b9996fce13ce84657a32ead00ff3ef8322c,14ce9b6205f16eeaf877c31d202752bf328e1a21efbbff040985dd104edfd1e79915fa011c6ae8b4811a259397b0c1f29087fe1e086d0748f134b740860dc5b0,06/16/2016 03:15:00 PM,06/16/2016 03:15:00 PM,360,1,17031081800,17031842200,8,8,$6.00,$1.50,$0.00,$0.00,$8.00,Credit Card,,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.904935302,-87.649907226,POINT (-87.6499072264 41.9049353016),37
